Airport ID,Airport Name,City,State,Country,Latitude,Longitude
10140,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919
10423,Austin - Bergstrom International,Austin,TX,USA,30.19453,-97.66987
10821,Baltimore/Washington International Thurgood Marshall,Baltimore,MD,USA,39.1754,-76.6682
10800,Bob Hope,Burbank,CA,USA,34.20062,-118.3585
10529,Bradley International,Hartford,CT,USA,41.93887,-72.68323
10792,Buffalo Niagara International,Buffalo,NY,USA,42.94052,-78.73217
11057,Charlotte Douglas International,Charlotte,NC,USA,35.21401,-80.94313
13232,Chicago Midway International,Chicago,IL,USA,41.78598,-87.75242
13930,Chicago O'Hare International,Chicago,IL,USA,41.9796,-87.90446
11193,Cincinnati/Northern Kentucky International,Cincinnati,OH,USA,39.04614,-84.66217
11042,Cleveland-Hopkins International,Cleveland,OH,USA,41.41089,-81.8494
11259,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
11298,Dallas/Fort Worth International,Dallas/Fort Worth,TX,USA,32.89595,-97.0372
11292,Denver International,Denver,CO,USA,39.85841,-104.667
11433,Detroit Metro Wayne County,Detroit,MI,USA,42.21206,-83.34884
13871,Eppley Airfield,Omaha,NE,USA,41.3032,-95.894096
11697,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,USA,26.07258,-80.15275
13342,General Mitchell International,Milwaukee,WI,USA,42.94722,-87.89658
12266,George Bush Intercontinental/Houston,Houston,TX,USA,29.98047,-95.33972
10397,Hartsfield-Jackson Atlanta International,Atlanta,GA,USA,33.640411,-84.419853
12173,Honolulu International,Honolulu,HI,USA,21.31869,-157.92241
12339,Indianapolis International,Indianapolis,IN,USA,39.71733,-86.29438
12451,Jacksonville International,Jacksonville,FL,USA,30.49406,-81.68786
12478,John F. Kennedy International,New York,NY,USA,40.641766,-73.780968
14908,John Wayne Airport-Orange County,Santa Ana,CA,USA,33.678925,-117.862869
13830,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
13198,Kansas City International,Kansas City,MO,USA,39.29761,-94.71391
12953,LaGuardia,New York,NY,USA,40.77724,-73.87261
15016,Lambert-St. Louis International,St. Louis,MO,USA,38.74769,-90.35999
10721,Logan International,Boston,MA,USA,42.366978,-71.022362
12954,Long Beach Airport,Long Beach,CA,USA,33.81772,-118.15161
12892,Los Angeles International,Los Angeles,CA,USA,33.94254,-118.40807
13495,Louis Armstrong New Orleans International,New Orleans,LA,USA,29.99339,-90.25803
14730,Louisville International-Standiford Field,Louisville,KY,USA,38.17439,-85.736
14843,Luis Munoz Marin International,San Juan,PR,USA,18.43942,-66.00183
12889,McCarran International,Las Vegas,NV,USA,36.08601,-115.153969
13244,Memphis International,Memphis,TN,USA,35.04242,-89.97667
13796,Metropolitan Oakland International,Oakland,CA,USA,37.72129,-122.22072
13303,Miami International,Miami,FL,USA,25.79325,-80.29056
13487,Minneapolis-St Paul International,Minneapolis,MN,USA,44.88055,-93.21692
10693,Nashville International,Nashville,TN,USA,36.131687,-86.668823
11618,Newark Liberty International,Newark,NJ,USA,40.6925,-74.16866
13931,Norfolk International,Norfolk,VA,USA,36.89461,-76.20122
14831,Norman Y. Mineta San Jose International,San Jose,CA,USA,37.36186,-121.92901
13891,Ontario International,Ontario,CA,USA,34.056,-117.60119
13204,Orlando International,Orlando,FL,USA,28.42889,-81.31603
14027,Palm Beach International,West Palm Beach/Palm Beach,FL,USA,26.68316,-80.09559
14100,Philadelphia International,Philadelphia,PA,USA,39.87195,-75.24114
14107,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43417,-112.00806
14122,Pittsburgh International,Pittsburgh,PA,USA,40.49147,-80.23287
11066,Port Columbus International,Columbus,OH,USA,39.99799,-82.89188
14057,Portland International,Portland,OR,USA,45.58872,-122.5975
14492,Raleigh-Durham International,Raleigh/Durham,NC,USA,35.87764,-78.78747
14570,Reno/Tahoe International,Reno,NV,USA,39.49858,-119.76806
14524,Richmond International,Richmond,VA,USA,37.50517,-77.31967
11278,Ronald Reagan Washington National,Washington,DC,USA,38.85208,-77.03772
14893,Sacramento International,Sacramento,CA,USA,38.69542,-121.59077
14869,Salt Lake City International,Salt Lake City,UT,USA,40.78839,-111.97777
14683,San Antonio International,San Antonio,TX,USA,29.53369,-98.46978
14679,San Diego International,San Diego,CA,USA,32.73177,-117.197624
14771,San Francisco International,San Francisco,CA,USA,37.615223,-122.389977
14747,Seattle/Tacoma International,Seattle,WA,USA,47.443546,-122.301659
14635,Southwest Florida International,Fort Myers,FL,USA,26.53617,-81.75517
15304,Tampa International,Tampa,FL,USA,27.979168,-82.539337
10299,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432,-149.99619
14307,Theodore Francis Green State,Providence,RI,USA,41.724,-71.42822
15376,Tucson International,Tucson,AZ,USA,32.116112,-110.941109
12264,Washington Dulles International,Washington,DC,USA,38.94453,-77.45581
13851,Will Rogers World,Oklahoma City,OK,USA,35.39309,-97.60073
12191,William P Hobby,Houston,TX,USA,29.64542,-95.27889
