name_of_law_firm ,address,location, no_of_partners,phone,website_url
"Aafedt, Forde, Gray, Monson & Hager, P.A.","920 Second Avenue South
Suite 1400","Minneapolis, Minnesota 55402",22,612-339-8965,http://www.aafedt.com/
"Aaron, Riechert, Carpol & Riffle, APC","900 Veterans Boulevard, Suite 600","Redwood City, California 94063-9406",9,650-368-4662,http://arcr.com/
Aaronson Rappaport Feinstein and Deutsch LLP,600 3rd Avenue,"New York, New York 10016",34,212-593-6700,http://www.arfdlaw.com/
Abbene & Alcock APC,"180 Broadway, Suite 1350","San Diego, California 92101",,619-236-1323,http://www.aalapc.com/
Abbey Weitzenberg Warren & Emery PC,"100 Stony Point Rd, Suite 200","Santa Rosa, California 95401",9,707-542-5050,http://abbeylaw.com/
Abbott & Kindermann LLP,2100 21st Street,"Sacramento, California 95818",,916-456-9595,https://www.aklandlaw.com/
Abbott Nicholson PC,"300 River Place, Suite 3000","Detroit, Michigan 48207",5,313-566-2500,http://www.abbottnicholson.com/
Abernathy Roeder Boyd & Hullett PC,1700 North Redbud Boulevard Suite 300,"McKinney, Texas 75069",17,214-544-4000,http://abernathy-law.com/
Abraham Fruchter & Twersky LLP,One Penn Plaza Ste 2805,"New York, New York 10119-1011",3,212-279-5050,http://aftlaw.com
Abrahams Kaslow & Cassman LLP,"8712 West Dodge Road, Suite 300","Omaha, Nebraska 68114",,402-392-1250,https://www.akclaw.com/
Abrams & Bayliss LLP,"20 Montchanin Road, Suite 200","Wilmington, Delaware 19807",6,302-778-1000,http://abramsbayliss.com
Abrams Fensterman LLP,"3 Dakota Drive, Suite 300","Lake Success, New York 11042-1104",66,516-328-2300,http://www.abramslaw.com/
Abrams Garfinkel Margolis Bergson LLP,1430 Broadway 17th Floor,"New York, New York 10018",20,212-201-1170,http://agmblaw.com/
Abrams LawWorks,PO Box 275,"Mt. Pleasant, South Carolina 29465",,843-823-3635,https://abramslawworks.com/
Abramson Brown & Dugan,1819 Elm Street,"Manchester, New Hampshire 03104",2,603-627-1819,https://www.arbd.com/
Abrenio Law,"3925 Chain Bridge Road, Suite 202","Fairfax, Virginia 22030",,703-570-4180,https://abreniolaw.com/
"Ackerson & Yann, PLLC","401 West Main Street,Suite 1200","Louisville, Kentucky 40202",10,502-583-7400,http://ackersonlegal.com/
Acker & Whipple,811 Wilshire Blvd Ste 700,"Los Angeles, California 90017-9001",4,213-347-0240,http://ackerandwhipple.com
ACLU of Missouri,"906 Olive St., Suite 1130","St. Louis, Missouri 63101",,314-652-3114,https://www.aclu-mo.org/
Actuate Law LLC,641 W Lake St,"Chicago, Illinois 60661",11,312-579-3108,http://actuatelaw.com
Adam Leitman Bailey PC,"1 Battery Park Plaza, 18th Floor","New York, New York 10004",16,212-825-0365,http://alblawfirm.com/
Adams and Reese LLP,"701 Poydras Street, Suite 4500","New Orleans, Louisiana 70139",144,504-581-3234,http://www.adamsandreese.com
"Adams Coogler, PA",1555 Palm Beach Lakes Blvd Sixteenth Fl W,"West Palm Beach, Florida 33401-3340",8,561-478-4500,http://www.adamscoogler.com/
"Adams Gallinar, P.A.","1000 Brickell Avenue, Suite 300","Miami, Florida 33131",,305-416-6800,https://www.agilawfirm.com/
Adamski Moroski Madden Cumberland & Green LLP,6633 Bay Laurel Place,"Avila Beach, California 93424",13,805-543-0990,http://ammcglaw.com
Adams Law PLLC,40 West Pike Street,"Covington, Kentucky 41011",7,859-394-6200,https://adamsattorneys.com
Adams Stirling PLC,"2566 Overland Ave, Suite 730","Los Angeles, California 90064",6,310-945-0280,http://adamsstirling.com
"Adelman & Gettleman, Ltd.","53 W. Jackson Blvd.
Suite 1050","Chicago, Illinois 60604",6,312-435-1050,https://www.ag-ltd.com/
"Adinolfi, Roberto, Burick & Molotsky, P.A.",8000 Midlantic Drive Suite 200N,"Mount Laurel, New Jersey 08054",,856-428-8334,https://sjfamilylawyers.com/
"Adler, Cohen, Harvey, Wakeman & Guekguezian","75 Federal Street, 10th Floor","Boston, Massachusetts 02109",9,617-423-6674,http://www.adlercohen.com/
Adler & Colvin,"Russ Building, Suite 1220 235 Montgomery Street","San Francisco, California 94104-9410",9,415-421-7555,http://adlercolvin.com/
Adler Pollock & Sheehan PC,"One Citizens Plaza, 8th Floor","Providence, Rhode Island 02903-1345",37,401-274-7200,http://www.apslaw.com/
Adler & Stachenfeld LLP,"555 Madison Ave., 6th Floor","New York, New York 10022",25,212-883-1700,https://adstach.com/
Aegis Law,601 S. Lindbergh,"Frontenac, Missouri 63131",17,314-454-9100,http://aegislaw.com/
