name,no_of_lawyers
"Aafedt, Forde, Gray, Monson & Hager, P.A.",31
"Aaron, Riechert, Carpol & Riffle, APC",17
Aaronson Rappaport Feinstein and Deutsch LLP,69
Abbene & Alcock APC,Not Available
Abbey Weitzenberg Warren & Emery PC,15
,
Abbott & Kindermann LLP,Not Available
Abbott Nicholson PC,13
Abernathy Roeder Boyd & Hullett PC,22
Abraham Fruchter & Twersky LLP,6
Abrahams Kaslow & Cassman LLP,Not Available
,
Abrams & Bayliss LLP,22
Abrams Fensterman LLP,109
Abrams Garfinkel Margolis Bergson LLP,33
Abrams LawWorks,Not Available
Abramson Brown & Dugan,7
,
Abrenio Law,Not Available
"Ackerson & Yann, PLLC",12
Acker & Whipple,9
ACLU of Missouri,Not Available
Actuate Law LLC,15
,
"Aafedt, Forde, Gray, Monson & Hager, P.A.",31
"Aaron, Riechert, Carpol & Riffle, APC",17
Aaronson Rappaport Feinstein and Deutsch LLP,69
Abbene & Alcock APC,Not Available
Abbey Weitzenberg Warren & Emery PC,15
,
Abbott & Kindermann LLP,Not Available
Abbott Nicholson PC,13
Abernathy Roeder Boyd & Hullett PC,22
Abraham Fruchter & Twersky LLP,6
Abrahams Kaslow & Cassman LLP,Not Available
,
Abrams & Bayliss LLP,22
Abrams Fensterman LLP,109
Abrams Garfinkel Margolis Bergson LLP,33
Abrams LawWorks,Not Available
Abramson Brown & Dugan,7
,
Abrenio Law,Not Available
"Ackerson & Yann, PLLC",12
Acker & Whipple,9
ACLU of Missouri,Not Available
Actuate Law LLC,15
,
Adam Leitman Bailey PC,28
Adams and Reese LLP,288
"Adams Coogler, PA",10
"Adams Gallinar, P.A.",Not Available
Adamski Moroski Madden Cumberland & Green LLP,17
,
Adams Law PLLC,16
Adams Stirling PLC,19
"Adelman & Gettleman, Ltd.",9
"Adinolfi, Roberto, Burick & Molotsky, P.A.",Not Available
"Adler, Cohen, Harvey, Wakeman & Guekguezian",18
,
Adler & Colvin,22
Adler Pollock & Sheehan PC,68
Adler & Stachenfeld LLP,51
Aegis Law,32
"AG Adams Law, P.A.",Not Available
,
Agentis Law,Not Available
Aghl Law,22
"Ahlers & Cooney, PC",40
Ahmad Zavitsanos & Mensing,55
Ahmuty Demers & McManus,66
,
"Ahrens DeAngeli Law Group, LLP",15
Aiello Harris Marth Tunnero & Schiffman PC,10
Aiken Bridges Law,11
"Airdo Werwas, LLC",15
Aitken Aitken Cohn,8
,
Ajamie LLP,11
Akeel & Valentine PLC,9
Akerman LLP,736
"Akin, Gump, Strauss, Hauer & Feld, LLP",725
"Akin, Webster & Matson, P.C.",Not Available
,
Akman & Associates PC,10
"Alane Family Law, P.C.",Not Available
Alan Lescht & Associates PC,17
A Lavar Taylor Law,10
ALAW  James E Albertelli PA,23
,
"Albanese & Albanese, LLP",10
Albert & Mackenzie,119
"Albright, Stoddard, Warnick & Albright",8
Alcaraz Law PA,7
Alden Law Group PLLC,6
,
"Alderman, Devorsetz & Hora PLLC",Not Available
Aldrich & Bonnefin PLC,7
Aldridge Pite LLP,91
"Aleshire & Wynder, LLP",59
"Alexander Business Law, PLLC",Not Available
,
Alexander Degance Barnett,8
Alexander Dubose & Jefferson LLP,18
Alexander Ricks PLLC,32
Alexander Shunnarah Injury Lawyers,122
Alexander & Vann LLP,13
,
"ALG, Association Law Group",6
"Allegaert Berger & Vogel, LLP",19
Allegaert Berger Vogel LLP,Not Available
Allen & Associates,Not Available
"Allen Barnes & Jones, PLC",Not Available
,
Allen Boone Humphries Robinson LLP,39
Allen & Curry PC,9
Allen Dell PA,11
Allen Dyer Doppelt & Gilchrist PA,19
"Allen Galluzzo Hevrin Leake, LLC",Not Available
,
Allen Glaessner Hazelwood & Werth LLP,15
Allen & Gooch,16
Allen Matkins Leck Gamble Mallory & Natsis LLP,239
"Allen, Moore & Rogers, L.L.P.",Not Available
Allen Norton & Blue PA,24
,
"Allen Norton & Blue, P.A.",Not Available
Allen & Overy LLP,282
Allen Stein & Durbin PC,11
Allen Stovall Neuman Fisher & Ashton LLP,9
Allen Summers Simpson Lillie & Gresham PLLC,11
,
"Allensworth & Porter, LLP",24
Allen Vellone Wolf Helfrich & Factor PC,19
"Allen Wellman McNew Harvey, LLP",12
Allers Cressman & Sleight PLLC,21
"Alley, Maass, Rogers & Lindsay P.A.",16
,
Allison MacKenzie,13
"Allman Spry Davis Leggett & Crumpler, P.A.",11
Almanza Blackburn Dickie & Mitchell LLP,15
Aloia Roland Lubell & Morgan PLLC,12
Alonso Law Ltd.,Not Available
,
Alston & Bird LLP,935
Alston Courtnage & Bassetti LLP,8
"Altima Advisors/Attorneys, LLC",Not Available
Altitude Community Law,17
Altshuler Berzon LLP,25
,
Alvarez-Glasman & Colvin,21
Alvarez Thompson & Smoak PA,21
Alward Fisher,11
"Amabile & Erman, PC",17
Ambrose Law Firm,Not Available
,
Amin Talati Wasserman LLP,23
Amin Turocy & Watson LLP,24
Amis Patel & Brewer,16
AMPACC Law Group PLLC,12
"AMS Global Immigration, PC",Not Available
,
Amster Rothstein & Ebenstein LLP,35
Amundsen Davis LLC,241
Amy Stewart PC,7
Anapol Weiss,24
Ancel Glink,43
,
Anchors Smith Grimsley,11
Andersen PLLC,13
"Andersen Tate & Carr, PC",30
Anderson Agostino & Keller PC,17
Anderson Bottrell Sanden & Thompson,15
,
"Anderson, Coe & King, L.L.P.",12
Anderson Crawley & Burke PLLC,15
Anderson Hunter,15
Anderson Julian & Hull LLP,21
Anderson & Karrenberg,10
,
Anderson Kill PC,74
Anderson & Kreiger LLP,45
"Anderson, McPharlin & Conners, LLP",25
Anderson Murphy Hopkins LLP,11
Anderson O Brien Law Firm,19
,
"Anderson & Quinn, LLC",6
"Anderson Rasor & Partners, LLP",16
Anderson Wilmarth Van Der Maaten Belay Fretheim Gipp Evelsizer Olson Noble Lynch & Zahasky,7
Anderson Yazdi Hwang Minton & Horn LLP,12
Anderson Zeigler Law Firm,13
,
Andreason Law Firm,Not Available
Andre Morris & Buttery,13
"Andrew Domin, Attorney at Law",Not Available
Andrews Myers PC,68
Andrus Intellectual Property Law LLP,13
,
Anesi Ozmon LTD,13
Angius & Terry LLP,13
"Anidjar & Levine, PA",30
Ansa Assuncao LLP,14
Ansell Grimm & Aaron PC,43
,
Anselmi & Carvelli LLP,9
Anselmi Mierzejewski Ruth & Sowle PC,37
Anspach Meeks Ellenberger LLP,6
"Antheil Maslow & MacMinn, LLP",20
Anthony and Partners,11
,
Anthony LG PLLC,10
Anthony Ostlund Louwagie Dressen Boylan PA,18
Antone Casagrande & Adwers PC,15
Aplin & Ringsmuth LLC,9
"Appellate Advocates, Inc.",20
,
Appel Yost & Zee LLP,18
Apperson Crump,16
Applegate & Thorne Thomsen PC,48
Apruzzese McDermott Mastro & Murphy PC,17
"Arcadi Jackson, LLP",Not Available
,
Archer & Greiner PC,170
Arch & Lake LLP,11
Archstone Law Group PC,Not Available
ArentFox Schiff LLP,620
Arias Sanguinetti Wang & Team LLP,17
,
Arkin Solbakken LLP,6
"Armbrecht Jackson, LLP",24
"Armbrust & Brown, PLLC",31
Armstrong Donohue Ceppos Vaughan & Rhoades CHTD,20
Armstrong Teasdale,331
,
Arnall Golden Gregory LLP,204
Arnett Baker Draper & Hagood LLP,18
Arnold Gallagher P.C.,8
"Arnold LaRochelle Mathews VanConas & Zirbel, LLP",8
Arnold & Porter Kaye Scholer LLP,873
,
Arns Davis Law,Not Available
"Arnzen, Storm & Turner, P.S.C.",Not Available
Aronberg Goldgehn Davis & Garmisa,43
Aronova & Associates PLLC,23
Arrowood LLP,9
,
Artegis Law Group LLP,11
"Arthur, Chapman, Kettering, Smetak & Pikala, P.A.",48
Artiano Shinoff,13
Asbury Law Firm,10
Ashbaugh Beal,16
,
"Ashby & Geddes, P.A.",22
Ashcraft & Gerel LLP,15
Ashcroft Law Firm,10
"Ashford & Wriston, LLP",26
Ash Law Firm PLLC,Not Available
,
Ask LLP,17
Asmar Schor & McKenna PLLC,13
"Asmar, Schor & McKenna, PLLC",Not Available
Aspey Watkins & Diesel PLLC,18
Assaf & Siegal PLLC,Not Available
,
Assouline & Berlowe PA,15
Astor Weiss Kaplan & Mandel LLP,20
Aswad & Ingraham LLP,11
